molecule_chembl_id,canonical_smiles,standard_value
CHEMBL353472,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)CSC,100000.0
CHEMBL170095,CCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)NC,100000.0
CHEMBL353210,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)CCS,100000.0
CHEMBL329145,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)CS,2600.0
CHEMBL172226,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C[S+](C)[O-])NC(=O)CS,8500.0
CHEMBL426028,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)CS,430.0
CHEMBL172892,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)CS)C(C)O,100000.0
CHEMBL170913,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CSC)NC(=O)CS,650.0
CHEMBL170021,CNC(=O)[C@H](Cc1cscn1)NC(=O)[C@H](CC(C)C)NC(=O)CS,430.0
CHEMBL369024,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CSC)NC(=O)CS,810.0
CHEMBL60454,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@]1(CS)CCCC(OC)C1,10000.0
CHEMBL60431,CCC[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)NC)CC1,10000.0
CHEMBL418312,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)NC(C)C)CC1,568.0
CHEMBL291799,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)Nc2ccccc2)CC1,52.0
CHEMBL292115,CCCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)NC)CC1,187.0
CHEMBL417210,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2ccccn2)CC1,449.0
CHEMBL293017,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@]1(CS)CC[C@H](C(F)(F)F)CC1,4474.0
CHEMBL302899,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@]1(CS)CC[C@H](C(C)(C)C)CC1,10000.0
CHEMBL293018,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2cccnc2)CC1,73.0
CHEMBL417383,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2ccc(F)cc2)CC1,87.0
CHEMBL60195,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2ccc(Cl)cc2)CC1,113.0
CHEMBL291695,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2ccc(OC)cc2)CC1,39.0
CHEMBL291542,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccc(OC)cc2)C(=O)Nc2ccccc2)CC1,62.0
CHEMBL59886,CCOc1ccc(C[C@H](NC(=O)[C@]2(CS)CC[C@H](OCC)CC2)C(=O)Nc2ccccc2)cc1,139.0
CHEMBL60163,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2cccnc2)C(=O)Nc2ccccc2)CC1,49.0
CHEMBL59861,CNC(=O)[C@H](Cc1ccccc1)NC(=O)C1(CS)CCCCC1,9200.0
CHEMBL294088,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@]1(CS)CC[C@H](OC)CC1,926.0
CHEMBL299265,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2ccc(N(C)C)cc2)CC1,77.0
CHEMBL413270,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1,175.0
CHEMBL64390,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)NC2CCCC2)CC1,666.0
CHEMBL60250,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)NC2CCCCC2)CC1,617.0
CHEMBL61610,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)NC)CC1,640.0
CHEMBL62156,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccccc2)CC1,207.0
CHEMBL59496,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2ccccc2)CC1,76.0
CHEMBL64069,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccc(Cl)cc2)C(=O)Nc2ccccc2)CC1,223.0
CHEMBL60183,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2cccs2)C(=O)Nc2ccccc2)CC1,47.0
CHEMBL60951,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)Nc2ccccc2)CC1,134.0
CHEMBL59496,CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2ccccc2)CC1,10000.0
