cid,molecular_weight,iupac_name,isomeric_smiles,molecular_formula
6917,111.14,1-ethenylpyrrolidin-2-one,C=CN1CCCC1=O,C6H9NO
969472,388.8,"[(7S)-6-(5-chloropyridin-2-yl)-5-oxo-7H-pyrrolo[3,4-b]pyrazin-7-yl] 4-methylpiperazine-1-carboxylate",CN1CCN(CC1)C(=O)O[C@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,C17H17ClN6O3
5735,388.8,"[6-(5-chloropyridin-2-yl)-5-oxo-7H-pyrrolo[3,4-b]pyrazin-7-yl] 4-methylpiperazine-1-carboxylate",CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,C17H17ClN6O3
71657455,583.0,"(2S)-N-[(1S)-1-(2-chlorophenyl)-2-[(3,3-difluorocyclobutyl)amino]-2-oxoethyl]-1-(4-cyanopyridin-2-yl)-N-(5-fluoropyridin-3-yl)-5-oxopyrrolidine-2-carboxamide",C1CC(=O)N([C@@H]1C(=O)N(C2=CC(=CN=C2)F)[C@@H](C3=CC=CC=C3Cl)C(=O)NC4CC(C4)(F)F)C5=NC=CC(=C5)C#N,C28H22ClF3N6O3
91677,312.11,3-chloro-4-(chloromethyl)-1-[3-(trifluoromethyl)phenyl]pyrrolidin-2-one,C1C(C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)Cl)CCl,C12H10Cl2F3NO
36242,284.13,"3-(3,5-dichlorophenyl)-1,5-dimethyl-3-azabicyclo[3.1.0]hexane-2,4-dione",CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C,C13H11Cl2NO2
3718,281.30,2-[4-(3-oxo-1H-isoindol-2-yl)phenyl]propanoic acid,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,C17H15NO3
410087,364.95,1-ethenylpyrrolidin-2-one;molecular iodine,C=CN1CCCC1=O.II,C6H9I2NO
107641,295.3,2-[4-(3-oxo-1H-isoindol-2-yl)phenyl]butanoic acid,CCC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,C18H17NO3
90363,244.07,"1-(3,5-dichlorophenyl)pyrrolidine-2,5-dione",C1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,C10H7Cl2NO2
131664,407.9,"2-(7-chloro-1,8-naphthyridin-2-yl)-3-(5-methyl-2-oxohexyl)-3H-isoindol-1-one",CC(C)CCC(=O)CC1C2=CC=CC=C2C(=O)N1C3=NC4=C(C=C3)C=CC(=N4)Cl,C23H22ClN3O2
68215,223.23,"2-phenylisoindole-1,3-dione",C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C2=O,C14H9NO2
12884,223.23,"1-phenylindole-2,3-dione",C1=CC=C(C=C1)N2C3=CC=CC=C3C(=O)C2=O,C14H9NO2
56931136,462.9,methyl N-[6-[2-(5-chloro-2-methylphenyl)-1-hydroxy-3-oxoisoindol-1-yl]-1H-benzimidazol-2-yl]carbamate,CC1=C(C=C(C=C1)Cl)N2C(=O)C3=CC=CC=C3C2(C4=CC5=C(C=C4)N=C(N5)NC(=O)OC)O,C24H19ClN4O4
9976892,377.5,"1-[6-[(3-cyclobutyl-1,2,4,5-tetrahydro-3-benzazepin-7-yl)oxy]pyridin-3-yl]pyrrolidin-2-one",C1CC(C1)N2CCC3=C(CC2)C=C(C=C3)OC4=NC=C(C=C4)N5CCCC5=O,C23H27N3O2
