Amino Acid,No. ,MW,pI,hI,conc ,C1%,C2%,C3%,P,T
Glycine,1,75.07,6.06,-0.40,2.05,100.00,0.00,0.00,2.94,274.45
Glycine,2,75.07,6.06,-0.40,2.05,100.00,0.00,0.00,4.43,278.35
Glycine,3,75.07,6.06,-0.40,2.05,100.00,0.00,0.00,5.93,281.15
Glycine,4,75.07,6.06,-0.40,2.05,100.00,0.00,0.00,7.43,283.25
Glycine,5,75.07,6.06,-0.40,2.05,100.00,0.00,0.00,8.97,284.85
Glycine,6,75.07,6.06,-0.40,5.21,100.00,0.00,0.00,2.95,273.95
Glycine,7,75.07,6.06,-0.40,5.21,100.00,0.00,0.00,4.41,277.65
Glycine,8,75.07,6.06,-0.40,5.21,100.00,0.00,0.00,5.91,280.45
Glycine,9,75.07,6.06,-0.40,5.21,100.00,0.00,0.00,7.40,282.45
Glycine,10,75.07,6.06,-0.40,5.21,100.00,0.00,0.00,8.93,284.30
Glycine,11,75.07,6.06,-0.40,8.58,100.00,0.00,0.00,2.94,273.35
Glycine,12,75.07,6.06,-0.40,8.58,100.00,0.00,0.00,4.42,277.25
Glycine,13,75.07,6.06,-0.40,8.58,100.00,0.00,0.00,5.90,279.95
Glycine,14,75.07,6.06,-0.40,8.58,100.00,0.00,0.00,7.40,282.05
Glycine,15,75.07,6.06,-0.40,8.58,100.00,0.00,0.00,8.92,283.75
Glycine,16,75.07,6.06,-0.40,11.42,100.00,0.00,0.00,2.92,272.85
Glycine,17,75.07,6.06,-0.40,11.42,100.00,0.00,0.00,4.40,276.75
Glycine,18,75.07,6.06,-0.40,11.42,100.00,0.00,0.00,5.88,279.45
Glycine,19,75.07,6.06,-0.40,11.42,100.00,0.00,0.00,7.35,281.40
Glycine,20,75.07,6.06,-0.40,11.42,100.00,0.00,0.00,8.87,283.05
Glycine,21,75.07,6.06,-0.40,2.05,93.00,5.00,2.00,1.25,276.25
Glycine,22,75.07,6.06,-0.40,2.05,93.00,5.00,2.00,1.95,280.45
Glycine,23,75.07,6.06,-0.40,2.05,93.00,5.00,2.00,2.66,283.05
Glycine,24,75.07,6.06,-0.40,2.05,93.00,5.00,2.00,3.37,285.05
Glycine,25,75.07,6.06,-0.40,2.05,93.00,5.00,2.00,4.09,286.75
Glycine,26,75.07,6.06,-0.40,5.21,93.00,5.00,2.00,1.24,275.85
Glycine,27,75.07,6.06,-0.40,5.21,93.00,5.00,2.00,1.95,280.15
Glycine,28,75.07,6.06,-0.40,5.21,93.00,5.00,2.00,2.65,282.65
Glycine,29,75.07,6.06,-0.40,5.21,93.00,5.00,2.00,3.36,284.75
Glycine,30,75.07,6.06,-0.40,5.21,93.00,5.00,2.00,4.10,286.45
Glycine,31,75.07,6.06,-0.40,8.58,93.00,5.00,2.00,1.25,275.45
Glycine,32,75.07,6.06,-0.40,8.58,93.00,5.00,2.00,1.95,279.75
Glycine,33,75.07,6.06,-0.40,8.58,93.00,5.00,2.00,2.64,282.25
Glycine,34,75.07,6.06,-0.40,8.58,93.00,5.00,2.00,3.36,284.35
Glycine,35,75.07,6.06,-0.40,8.58,93.00,5.00,2.00,4.09,285.95
Glycine,36,75.07,6.06,-0.40,11.42,93.00,5.00,2.00,1.25,274.85
Glycine,37,75.07,6.06,-0.40,11.42,93.00,5.00,2.00,1.94,279.15
Glycine,38,75.07,6.06,-0.40,11.42,93.00,5.00,2.00,2.65,281.75
Glycine,39,75.07,6.06,-0.40,11.42,93.00,5.00,2.00,3.36,283.85
Glycine,40,75.07,6.06,-0.40,11.42,93.00,5.00,2.00,4.07,285.35
Alanine,41,89.09,6.11,1.80,2.43,100.00,0.00,0.00,2.95,274.25
Alanine,42,89.09,6.11,1.80,2.43,100.00,0.00,0.00,4.41,278.25
Alanine,43,89.09,6.11,1.80,2.43,100.00,0.00,0.00,5.92,281.05
Alanine,44,89.09,6.11,1.80,2.43,100.00,0.00,0.00,7.43,283.25
Alanine,45,89.09,6.11,1.80,2.43,100.00,0.00,0.00,8.95,284.85
Alanine,46,89.09,6.11,1.80,6.12,100.00,0.00,0.00,2.95,273.95
Alanine,47,89.09,6.11,1.80,6.12,100.00,0.00,0.00,4.41,277.65
Alanine,48,89.09,6.11,1.80,6.12,100.00,0.00,0.00,5.91,280.35
Alanine,49,89.09,6.11,1.80,6.12,100.00,0.00,0.00,7.36,282.35
Alanine,50,89.09,6.11,1.80,6.12,100.00,0.00,0.00,8.93,284.15
Alanine,51,89.09,6.11,1.80,10.02,100.00,0.00,0.00,2.93,273.05
Alanine,52,89.09,6.11,1.80,10.02,100.00,0.00,0.00,4.40,276.95
Alanine,53,89.09,6.11,1.80,10.02,100.00,0.00,0.00,5.90,279.85
Alanine,54,89.09,6.11,1.80,10.02,100.00,0.00,0.00,7.39,281.92
Alanine,55,89.09,6.11,1.80,10.02,100.00,0.00,0.00,8.91,283.58
Alanine,56,89.09,6.11,1.80,2.43,93.00,5.00,2.00,1.25,276.15
Alanine,57,89.09,6.11,1.80,2.43,93.00,5.00,2.00,1.95,280.15
Alanine,58,89.09,6.11,1.80,2.43,93.00,5.00,2.00,2.66,282.95
Alanine,59,89.09,6.11,1.80,2.43,93.00,5.00,2.00,3.37,284.85
Alanine,60,89.09,6.11,1.80,2.43,93.00,5.00,2.00,4.10,286.65
Alanine,61,89.09,6.11,1.80,6.12,93.00,5.00,2.00,1.25,275.75
Alanine,62,89.09,6.11,1.80,6.12,93.00,5.00,2.00,1.95,279.95
Alanine,63,89.09,6.11,1.80,6.12,93.00,5.00,2.00,2.66,282.55
Alanine,64,89.09,6.11,1.80,6.12,93.00,5.00,2.00,3.36,284.55
Alanine,65,89.09,6.11,1.80,6.12,93.00,5.00,2.00,4.11,286.35
Alanine,66,89.09,6.11,1.80,10.02,93.00,5.00,2.00,1.24,275.15
Alanine,67,89.09,6.11,1.80,10.02,93.00,5.00,2.00,1.95,279.45
Alanine,68,89.09,6.11,1.80,10.02,93.00,5.00,2.00,2.66,282.05
Alanine,69,89.09,6.11,1.80,10.02,93.00,5.00,2.00,3.36,284.15
