Amino Acid,MW,pI,hI,conc ,C1%,C2%,C3%,P,T,LogP,NumHDonors,NumHAcceptors,LogP,NumHDonors,NumHAcceptors
Glycine,75.07,6.06,-0.4,2.05,100.0,0.0,0.0,2.94,274.45,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,2.05,100.0,0.0,0.0,4.43,278.35,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,2.05,100.0,0.0,0.0,5.93,281.15,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,2.05,100.0,0.0,0.0,7.43,283.25,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,2.05,100.0,0.0,0.0,8.97,284.85,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,100.0,0.0,0.0,2.95,273.95,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,100.0,0.0,0.0,4.41,277.65,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,100.0,0.0,0.0,5.91,280.45,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,100.0,0.0,0.0,7.4,282.45,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,100.0,0.0,0.0,8.93,284.3,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,100.0,0.0,0.0,2.94,273.35,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,100.0,0.0,0.0,4.42,277.25,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,100.0,0.0,0.0,5.9,279.95,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,100.0,0.0,0.0,7.4,282.05,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,100.0,0.0,0.0,8.92,283.75,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,100.0,0.0,0.0,2.92,272.85,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,100.0,0.0,0.0,4.4,276.75,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,100.0,0.0,0.0,5.88,279.45,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,100.0,0.0,0.0,7.35,281.4,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,100.0,0.0,0.0,8.87,283.05,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,2.05,93.0,5.0,2.0,1.25,276.25,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,2.05,93.0,5.0,2.0,1.95,280.45,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,2.05,93.0,5.0,2.0,2.66,283.05,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,2.05,93.0,5.0,2.0,3.37,285.05,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,2.05,93.0,5.0,2.0,4.09,286.75,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,93.0,5.0,2.0,1.24,275.85,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,93.0,5.0,2.0,1.95,280.15,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,93.0,5.0,2.0,2.65,282.65,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,93.0,5.0,2.0,3.36,284.75,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.21,93.0,5.0,2.0,4.1,286.45,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,93.0,5.0,2.0,1.25,275.45,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,93.0,5.0,2.0,1.95,279.75,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,93.0,5.0,2.0,2.64,282.25,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,93.0,5.0,2.0,3.36,284.35,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,8.58,93.0,5.0,2.0,4.09,285.95,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,93.0,5.0,2.0,1.25,274.85,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,93.0,5.0,2.0,1.94,279.15,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,93.0,5.0,2.0,2.65,281.75,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,93.0,5.0,2.0,3.36,283.85,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,11.42,93.0,5.0,2.0,4.07,285.35,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,100.0,0.0,0.0,2.95,274.25,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,100.0,0.0,0.0,4.41,278.25,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,100.0,0.0,0.0,5.92,281.05,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,2.43,100.0,0.0,0.0,7.43,283.25,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
